train_id,model,year,last_check,next_check,warehouse_id
62,Spectra,2001,2024-09-15,2025-05-16,188
63,TundraMax,2007,2025-03-08,2025-08-27,187
64,900,1990,2024-10-04,2026-01-17,12
65,Loyale,1993,2024-05-19,2025-09-06,234
66,Escort,1991,2025-03-15,2026-04-03,322
67,Traverse,2009,2025-04-11,2025-10-17,109
68,GT350,1969,2025-02-24,2025-07-15,204
69,Truck,1985,2024-09-27,2025-08-05,273
70,Sierra 2500,2003,2025-04-27,2026-04-23,265
71,Grand Caravan,2005,2025-01-16,2025-12-14,156
72,Nubira,2001,2025-03-11,2025-10-31,292
73,Skyhawk,1989,2025-01-20,2026-04-24,340
74,Starion,1984,2024-09-11,2025-07-13,266
75,Focus,2007,2024-09-11,2025-09-29,333
76,Swift,1998,2024-09-22,2025-06-28,85
77,GX,2009,2024-05-18,2025-12-11,145
78,M6,2009,2024-11-24,2025-08-26,5
79,Quest,2004,2025-02-24,2026-03-16,195
80,Club Wagon,1993,2025-03-12,2025-09-06,82
81,Element,2006,2024-05-20,2026-01-10,308
82,Rodeo,1992,2024-09-14,2026-03-18,160
83,Land Cruiser,2008,2024-05-19,2025-06-15,227
84,Blazer,2004,2024-11-21,2026-02-12,102
85,Land Cruiser,2009,2024-11-11,2025-07-20,26
86,Firebird,1987,2025-04-17,2025-10-08,170
87,TundraMax,2007,2025-03-15,2026-04-06,224
88,Viper,2003,2025-03-14,2026-01-18,346
89,XL-7,2004,2025-02-12,2026-02-02,276
90,CL-Class,2008,2024-08-29,2026-03-11,63
91,Canyon,2008,2024-09-27,2025-08-20,192
92,Corolla,2011,2024-06-19,2025-10-11,162
93,Journey,2009,2025-03-26,2025-07-06,114
94,E-Series,2010,2024-09-05,2025-09-10,155
95,V70,2000,2024-06-29,2025-11-29,186
96,ES,2009,2024-09-27,2025-09-10,297
97,Odyssey,1995,2025-02-22,2026-04-04,281
98,Sierra 3500,2008,2024-11-06,2025-11-08,139
99,Mazda6,2005,2025-01-28,2025-10-14,10
100,Ram 1500,2001,2024-10-24,2025-07-08,222
101,Rapide,2011,2024-08-14,2025-05-26,372
102,Econoline E250,1992,2025-02-11,2025-07-07,363
103,LS,1992,2025-04-05,2026-01-29,370
104,Vandura 3500,1993,2024-08-30,2026-02-25,222
105,Sunfire,1998,2025-04-30,2025-05-24,325
106,Grand Caravan,1994,2024-09-03,2025-10-19,148
107,Grand Marquis,1995,2025-04-27,2025-07-04,379
108,Express 3500,2009,2024-11-06,2025-09-10,145
109,Sonoma Club Coupe,1994,2025-01-03,2025-06-11,322
110,Venture,1998,2024-12-04,2026-03-11,194
111,Firefly,1992,2025-03-09,2026-02-23,82
112,Durango,2008,2025-01-23,2025-11-09,240
113,XC70,2005,2025-02-11,2025-09-08,24
114,Ram Van 1500,2002,2024-06-24,2026-02-09,356
115,Savana 2500,2003,2024-07-20,2025-09-20,318
116,TL,2012,2024-11-14,2025-07-06,260
117,Challenger,2001,2025-01-17,2026-02-02,66
118,Terraza,2006,2024-09-15,2025-07-20,307
119,Tracer,1999,2024-10-21,2026-03-05,96
120,Supra,1998,2024-11-30,2025-06-25,129
121,Aero 8,2006,2024-07-07,2025-06-03,285
122,Frontier,2000,2025-01-26,2025-07-28,20
123,Q5,2011,2025-03-14,2025-07-19,123
124,Genesis Coupe,2010,2025-03-26,2026-01-12,244
125,Spectra5,2006,2024-06-09,2026-02-03,361
126,Silverado 2500,2010,2024-08-18,2025-06-14,296
127,Continental Flying Spur,2007,2024-07-12,2025-11-05,208
128,Aura,2009,2024-12-20,2025-06-04,37
129,Z4,2010,2024-11-23,2026-03-09,76
130,Tacoma Xtra,2001,2025-01-23,2026-03-01,394
131,Astro,1995,2024-06-03,2025-09-19,364
132,Econoline E250,1997,2024-05-26,2025-11-26,85
133,DTS,2006,2024-09-24,2026-01-16,263
134,Grand Cherokee,1995,2024-12-02,2025-10-23,85
135,Aztek,2002,2025-03-13,2025-07-21,359
136,Passat,1995,2024-10-19,2026-03-19,94
137,5 Series,2010,2025-01-08,2026-02-21,345
138,Town Car,2003,2024-07-24,2025-10-24,293
139,GT500,2009,2024-07-31,2025-08-10,90
140,Aura,2009,2024-07-06,2026-02-25,333
141,Ram Van 2500,2002,2024-06-21,2025-07-31,271
142,Seville,1996,2024-05-20,2025-06-26,140
143,Sidekick,1997,2024-07-21,2025-12-09,77
144,Previa,1991,2025-05-03,2025-07-21,388
145,5000CS Quattro,1986,2024-07-05,2026-01-01,122
146,Camry Hybrid,2008,2024-06-06,2026-03-31,325
147,911,2005,2025-03-27,2025-07-01,73
148,Tundra,2009,2024-09-21,2026-04-14,31
149,V40,2004,2024-06-02,2025-09-21,7
150,Aerostar,1990,2024-12-13,2025-06-04,267
151,Express 3500,2001,2025-02-01,2025-06-13,359
152,Sable,2000,2025-03-27,2025-07-03,73
153,Loyale,1993,2025-04-09,2025-07-26,168
154,Edge,2010,2025-02-09,2025-06-05,380
155,Silverado 3500,2007,2025-02-07,2025-11-16,216
156,Silhouette,2002,2024-12-24,2026-04-11,16
157,Rally Wagon 2500,1993,2025-04-19,2026-04-14,167
158,XK Series,2000,2024-07-25,2025-11-12,186
159,C-Class,1993,2024-05-10,2025-11-20,298
160,LX,1997,2024-09-06,2025-10-09,301
161,Sunbird,1990,2024-09-14,2025-11-03,320
162,Monte Carlo,2006,2025-03-05,2025-12-14,354
163,Rocky,1992,2025-01-07,2025-11-18,309
164,Bronco,1992,2025-03-08,2025-12-08,330
165,RL,1999,2024-07-22,2025-07-20,209
166,Eurovan,2002,2024-07-08,2025-11-28,320
167,Cobalt,2007,2025-03-22,2025-12-14,211
168,RX,2008,2024-09-08,2025-05-06,83
169,S-Class,1998,2024-08-07,2025-08-31,14
170,MX-5,1993,2025-01-13,2026-03-04,306
171,H1,2003,2025-01-03,2026-01-24,3
172,Cordia,1988,2024-11-11,2025-10-19,108
173,A8,2006,2024-06-21,2025-05-07,152
174,GTO,1964,2024-08-12,2025-09-13,219
175,Explorer,2005,2024-08-05,2026-01-29,331
176,Econoline E350,1999,2025-01-05,2026-01-06,203
177,Eurovan,1994,2025-03-15,2025-07-01,172
178,LeSabre,2001,2024-11-27,2026-03-31,222
179,DTS,2008,2025-02-07,2025-07-06,382
180,Boxster,2009,2024-05-17,2025-05-23,219
181,Reatta,1990,2024-05-06,2026-01-25,312
182,Savana,2008,2024-07-21,2025-07-02,158
183,Aspire,1995,2024-08-14,2025-09-09,245
184,400SEL,1993,2024-10-13,2025-09-30,57
185,Tiguan,2010,2024-12-05,2025-11-12,376
186,V90,1997,2024-07-20,2026-01-09,317
187,XJ Series,2004,2024-08-23,2025-10-24,279
188,Camaro,1992,2024-06-20,2025-08-02,111
189,Impala SS,1995,2025-02-08,2026-01-13,43
190,Reno,2005,2024-09-25,2026-04-14,195
191,S4,2000,2025-02-18,2025-06-09,13
192,Titan,2004,2025-03-08,2025-05-09,374
193,TL,2007,2024-08-14,2025-11-26,302
194,Colorado,2005,2025-04-15,2026-02-27,202
195,G-Series G10,1992,2025-01-15,2025-12-26,72
196,Volare,1976,2025-02-17,2026-04-19,146
197,H1,2002,2025-03-15,2026-01-18,331
198,Mustang,2009,2024-10-30,2025-11-08,174
199,Astro,2002,2024-05-24,2025-06-19,202
200,Daewoo Lacetti,2004,2024-05-09,2025-12-24,249
201,Impreza,2011,2024-10-11,2026-01-22,368
202,Azera,2012,2025-02-23,2026-04-08,316
203,G37,2012,2025-02-06,2025-08-26,234
204,300CE,1993,2024-07-06,2026-02-01,274
205,Venture,2001,2025-03-08,2025-12-09,12
206,Suburban 1500,2004,2024-05-22,2025-07-07,2
207,D350,1992,2025-03-04,2025-06-30,381
208,Accord,2008,2025-03-06,2026-03-03,388
209,F150,2003,2025-03-01,2025-11-16,309
210,Lucerne,2007,2024-08-22,2026-02-11,20
211,S60,2010,2024-07-19,2026-02-02,187
212,Grand Prix,1993,2025-04-29,2025-06-10,89
213,Corsica,1992,2024-11-30,2026-03-05,298
214,Mark VIII,1994,2024-11-30,2026-01-21,391
215,Familia,1985,2025-03-01,2025-07-12,226
216,C-Class,2012,2024-05-13,2025-12-26,339
217,ES,2004,2024-11-14,2025-05-30,11
218,Cobalt,2009,2024-11-19,2026-04-10,36
219,Savana 1500,2001,2024-09-12,2025-07-13,220
220,Diablo,2000,2024-05-29,2025-12-02,272
221,MX-5,2005,2024-12-21,2025-08-28,117
222,8 Series,1995,2024-11-25,2025-12-10,349
223,G-Class,2009,2024-06-28,2025-07-21,340
224,A5,2011,2025-01-04,2025-11-17,321
225,Gallardo,2007,2024-08-28,2025-05-30,6
226,F250,2005,2024-10-04,2026-04-25,197
227,S-Series,2002,2024-09-13,2025-08-07,29
228,F-Series,2010,2024-05-06,2025-07-22,383
229,V70,2001,2024-12-22,2025-11-27,265
230,S-Class,1991,2024-06-26,2026-01-29,205
231,Arnage,2008,2024-08-01,2025-11-04,105
232,164,1995,2025-02-05,2026-03-22,281
233,Ram 1500,2008,2024-09-24,2025-10-29,265
234,LR4,2010,2024-08-07,2026-03-10,126
235,207,2006,2025-02-24,2025-06-18,111
236,Truck,1986,2025-02-03,2025-12-26,167
237,Econoline E350,2001,2025-02-19,2025-07-07,299
238,Outback,2007,2024-07-13,2026-03-27,162
239,Sprinter 2500,2011,2024-09-17,2025-12-21,146
240,Quattroporte,2009,2024-07-17,2025-05-24,172
241,Sonata,2009,2024-11-14,2025-05-25,313
242,S-Series,2000,2025-02-20,2025-06-26,94
243,Savana 3500,2001,2025-02-07,2026-01-24,339
244,Ram 3500,1997,2024-12-13,2026-01-03,235
245,Tercel,1994,2024-08-06,2025-05-18,355
246,Protege,1997,2024-10-04,2025-08-02,47
247,E350,2011,2025-02-04,2025-05-25,156
248,Altima,1997,2025-03-08,2026-04-18,139
249,929,1989,2024-10-20,2025-10-02,177
250,Ranger,1987,2025-01-18,2025-10-16,240
251,G5,2009,2025-04-19,2026-03-04,392
252,C-Class,1993,2025-02-02,2025-05-27,336
253,NSX,1998,2024-10-01,2026-01-24,321
254,SJ,1988,2024-07-08,2025-08-18,288
255,SLK-Class,2010,2024-06-22,2025-07-05,36
256,626,1985,2024-06-10,2025-12-03,108
257,Cherokee,1998,2025-01-03,2025-07-10,196
258,Escort,1997,2024-10-21,2025-12-11,57
259,SLK-Class,2003,2024-06-29,2025-11-17,300
260,SLK-Class,2011,2024-10-10,2026-04-19,305
261,Lumina,1999,2024-07-05,2025-10-11,282
262,S-Class,1988,2024-06-17,2026-01-15,309
263,Wrangler,2001,2024-05-13,2026-04-07,340
264,F250,2005,2024-12-22,2025-09-28,181
265,300,2006,2024-12-17,2025-06-02,28
266,4000CS Quattro,1986,2025-02-07,2026-02-23,68
267,Suburban,2008,2024-11-17,2025-11-29,6
268,MPV,2002,2025-02-03,2025-06-04,95
269,E150,2011,2024-12-12,2025-10-18,94
270,Celica,2000,2025-04-20,2026-01-14,138
271,E-Series,1991,2024-10-18,2025-12-23,153
272,Navigator,1998,2024-11-25,2025-09-05,241
273,Express 2500,2000,2025-01-18,2026-04-03,97
274,Avalon,2011,2025-01-08,2025-07-20,3
275,CLK-Class,2008,2024-08-25,2025-12-30,143
276,R32,2004,2024-09-13,2026-04-20,324
277,SLK-Class,1997,2024-08-11,2026-04-14,396
278,Samurai,1995,2024-12-18,2025-06-20,219
279,Continental GTC,2011,2024-07-07,2025-05-27,185
280,Excel,1989,2025-03-09,2025-08-10,41
281,Prelude,1996,2024-12-04,2025-06-15,92
282,Sable,2004,2024-06-04,2025-09-14,284
283,Safari,1992,2025-02-19,2026-02-09,157
284,Viper,1993,2024-08-02,2025-05-23,246
285,Freelander,2005,2024-08-17,2026-04-21,284
286,RS4,2007,2024-07-05,2025-10-26,262
287,QX56,2008,2025-03-19,2025-08-25,257
288,300ZX,1996,2025-02-04,2026-01-05,371
289,CR-V,2000,2024-05-29,2025-09-23,224
290,8 Series,1992,2025-04-30,2026-04-27,347
291,Touareg,2012,2024-10-15,2026-01-25,295
292,Escape,2010,2025-04-10,2025-05-11,169
293,Clubman,2010,2024-08-22,2026-01-24,296
294,9-7X,2005,2025-01-08,2025-10-15,193
295,XLR-V,2009,2024-09-25,2025-05-11,373
296,Land Cruiser,2006,2024-08-18,2025-06-19,172
297,Colorado,2006,2025-03-08,2025-06-17,336
298,SL-Class,2001,2025-01-13,2026-02-03,50
299,SLK-Class,2006,2024-09-05,2025-12-11,56
300,Regal,1995,2024-06-06,2026-02-02,23
301,Sierra 2500HD,2006,2024-12-22,2025-10-11,83
302,Montana,2003,2025-04-26,2025-07-10,232
303,9-7X,2009,2024-12-13,2026-03-19,308
304,Sierra 3500,2011,2025-04-25,2025-05-30,13
305,XC90,2004,2024-09-25,2025-10-26,1
306,Safari,1992,2024-06-30,2026-04-27,268
307,Liberty,2010,2024-08-06,2025-05-22,90
308,STS-V,2008,2024-10-05,2026-04-18,180
309,5 Series,2001,2025-01-19,2025-08-03,2
310,Celica,1993,2024-10-17,2026-04-09,179
311,626,2001,2024-09-20,2025-06-08,256
312,Skyhawk,1987,2024-05-31,2026-04-13,42
313,TrailBlazer,2002,2025-04-19,2025-08-23,262
314,F150,2005,2024-09-28,2025-06-18,105
315,Cayenne,2006,2024-05-23,2025-09-25,205
316,Discovery,1999,2025-03-26,2026-01-15,131
317,Tempo,1985,2025-04-19,2025-09-11,385
318,Terraza,2006,2025-04-11,2025-06-30,120
319,LX,2006,2025-02-21,2025-06-12,152
320,928,1985,2024-05-23,2025-05-18,253
321,Prizm,1995,2024-12-20,2026-01-06,154
322,S8,2009,2025-04-18,2025-07-12,190
323,XJ,2006,2024-11-19,2026-03-15,375
324,Pilot,2009,2024-06-21,2026-02-24,318
325,Diamante,2000,2024-09-15,2025-12-11,375
326,Contour,1996,2024-10-29,2025-10-16,57
327,6000,1983,2024-09-19,2025-05-21,51
328,Maxima,2005,2024-06-25,2025-12-30,46
329,7 Series,2008,2024-06-10,2025-12-08,106
330,Savana 3500,2002,2025-04-02,2026-02-03,320
331,C30,2011,2024-10-29,2025-08-21,57
332,Firebird,1991,2024-11-30,2026-03-06,170
333,Coupe GT,1986,2024-05-06,2026-02-07,82
334,Miata MX-5,2000,2024-10-09,2025-06-15,71
335,Expedition EL,2009,2025-04-10,2025-10-30,24
336,Range Rover,2007,2024-05-15,2025-11-10,319
337,Laser,1986,2024-08-08,2025-07-08,334
338,1 Series,2010,2025-02-04,2025-11-20,399
339,Outback,2009,2024-10-10,2026-04-24,257
340,Windstar,1996,2025-01-23,2025-05-12,265
341,Santa Fe,2004,2024-11-18,2025-07-05,136
342,GranTurismo,2012,2025-04-13,2026-01-03,162
343,Gran Sport,2006,2025-02-06,2025-09-20,115
344,TSX,2007,2025-01-07,2025-11-16,263
345,Civic,1998,2025-04-19,2025-07-23,86
346,Forte,2011,2024-09-28,2026-04-23,154
347,Caravan,2010,2025-03-31,2025-09-11,129
348,RL,2004,2025-02-25,2025-09-21,389
349,Camaro,1981,2024-07-27,2026-02-03,283
350,Stealth,1992,2024-12-02,2026-01-25,145
351,Savana 3500,2008,2024-09-28,2025-07-09,326
352,Astro,2002,2024-11-23,2026-03-18,115
353,MX-3,1993,2024-07-12,2025-06-01,369
354,Tahoe,2011,2024-05-13,2025-08-15,391
355,Avalanche,2011,2024-11-09,2025-11-26,251
356,CL-Class,1998,2025-03-25,2026-01-29,146
357,Integra,1995,2025-04-14,2025-10-15,5
358,LR2,2009,2024-09-21,2026-01-01,344
359,SC,2003,2025-01-17,2025-07-03,270
360,SLK-Class,2008,2024-05-07,2026-01-02,380
361,Millenia,2002,2025-02-17,2026-01-11,257
362,Express 1500,2012,2024-06-12,2025-05-16,378
363,Expedition EL,2012,2025-03-18,2026-01-10,291
364,Eldorado,1996,2024-06-08,2026-03-11,217
365,Mustang,1996,2024-07-10,2025-05-16,107
366,Sidekick,1996,2024-05-29,2025-08-28,229
367,Windstar,2002,2024-12-02,2025-12-28,79
368,Grand Prix,1972,2024-05-08,2025-09-17,400
369,Diamante,1998,2024-09-24,2025-07-31,255
370,Odyssey,2011,2025-03-22,2025-05-12,114
371,Yukon XL 2500,2005,2024-06-08,2025-07-08,34
372,Escape,2000,2025-01-30,2025-10-06,31
373,rio,1999,2024-12-10,2025-10-05,35
374,Phantom,2013,2025-04-29,2026-03-03,13
375,Yukon XL 1500,2012,2025-04-10,2025-09-30,129
376,Explorer Sport,2000,2024-09-27,2025-12-30,337
377,J,1996,2025-02-07,2025-08-15,189
378,1500 Club Coupe,1992,2025-04-15,2025-08-11,282
379,Protege,1997,2024-10-09,2025-06-02,122
380,Pajero,2004,2024-07-09,2026-03-05,80
381,FF,2012,2024-09-02,2025-06-21,131
382,Explorer,2009,2025-03-14,2026-01-21,1
383,E-350 Super Duty,2006,2025-03-02,2025-08-10,375
384,Aerostar,1987,2025-02-04,2026-02-11,182
385,Mirage,2000,2024-08-25,2025-12-20,370
386,Sierra 1500,2009,2025-04-25,2025-10-15,45
387,X5 M,2010,2025-01-22,2025-10-01,307
388,9000,1989,2025-04-10,2026-01-01,270
389,Fury,1964,2024-10-01,2025-11-15,238
390,W126,1981,2024-05-11,2025-10-07,252
391,Aventador,2012,2024-12-23,2026-02-05,81
392,Yukon XL 1500,2006,2024-09-19,2025-06-17,26
393,Space,1984,2025-03-07,2026-02-27,81
394,911,1987,2025-02-16,2025-05-24,10
395,Echo,2005,2025-03-01,2025-12-21,345
396,458 Italia,2011,2025-02-10,2025-08-31,399
397,Challenger,1997,2025-02-18,2025-07-04,292
398,Maxima,2012,2024-05-20,2025-05-28,84
399,Cavalier,1995,2024-06-27,2025-07-15,280
400,Sierra 1500,2003,2025-01-02,2026-04-08,165
401,S4,2007,2025-01-19,2026-03-26,371
402,Dakota Club,2006,2024-11-15,2026-02-06,283
403,Mirage,1986,2025-03-01,2025-09-03,71
404,Legacy,1997,2025-04-22,2025-05-22,290
405,S-Class,1987,2024-06-18,2026-02-22,85
406,B2000,1985,2024-07-04,2025-06-16,203
407,Dakota Club,1996,2025-03-27,2025-05-27,25
408,Caravan,2008,2025-04-01,2025-09-17,171
409,Bronco,1984,2024-05-29,2025-06-25,212
410,Sedona,2006,2024-09-14,2026-01-18,45
411,Jetta,2009,2024-06-26,2025-12-04,342
412,Grand Am,1989,2025-01-04,2025-05-05,86
413,Cobalt,2010,2025-01-07,2025-09-27,48
414,Firebird,1989,2025-01-18,2026-05-01,310
415,RSX,2006,2024-11-22,2026-01-19,366
416,Esperante,2005,2025-03-13,2025-06-21,26
417,Mustang,1985,2024-09-05,2025-11-28,352
418,Focus ST,2013,2025-04-07,2025-12-21,215
419,Xterra,2007,2024-10-18,2025-07-05,148
420,Jetta,1988,2025-02-06,2025-09-01,386
421,XK Series,2005,2024-08-14,2026-01-16,312
422,Ram,2009,2024-05-12,2025-11-23,170
423,Malibu,1998,2025-03-13,2026-02-18,338
424,944,1986,2024-06-07,2026-02-03,386
425,Volare,1976,2024-08-15,2025-10-09,245
426,M6,2009,2024-12-30,2025-12-23,369
427,Diablo,1998,2025-01-20,2026-03-07,369
428,RX-7,1991,2024-07-31,2025-05-08,69
429,Club Wagon,1993,2025-03-04,2025-09-24,361
430,Stratus,1999,2024-07-06,2026-03-21,368
431,Avenger,1998,2025-04-19,2026-04-07,154
432,Mazda5,2007,2024-05-24,2026-01-01,302
433,Camry Hybrid,2008,2024-10-06,2025-10-22,370
434,Allroad,2001,2024-12-13,2026-04-17,212
435,6000,1989,2025-04-25,2026-02-24,131
436,GX,2003,2025-04-03,2025-05-08,3
437,Camaro,1997,2025-03-29,2025-06-19,395
438,Grand Cherokee,2001,2024-12-24,2026-01-07,381
439,Montana,2000,2025-01-15,2026-04-21,290
440,E-Class,1989,2025-03-07,2025-11-24,50
441,Envoy XL,2002,2024-09-01,2025-05-13,288
442,Nubira,2002,2024-12-28,2025-05-13,248
443,Miata MX-5,2001,2024-09-03,2025-06-22,287
444,Mirage,1995,2025-01-21,2026-02-19,210
445,XK Series,2001,2024-07-27,2025-10-11,3
446,4Runner,2006,2025-04-26,2025-09-28,72
447,Express 1500,2004,2025-03-19,2026-01-23,173
448,Intrepid,1996,2025-02-08,2026-04-16,349
449,Mustang,1966,2024-05-31,2025-06-06,148
450,Silverado 1500,2004,2025-03-12,2025-06-24,65
451,A6,2008,2024-10-26,2025-08-18,97
452,XT,1986,2024-08-07,2026-01-26,226
453,Truck,1992,2024-11-07,2025-09-17,236
454,Town Car,2004,2024-10-19,2025-06-09,22
455,GTI,1987,2025-02-25,2025-12-05,67
456,Grand Prix,1968,2025-01-27,2025-10-14,116
457,Passat,2005,2025-02-18,2025-12-09,125
458,Oasis,1997,2025-01-25,2025-06-05,101
459,Sonoma,1997,2025-02-25,2025-10-28,395
460,Civic,2003,2024-11-28,2026-03-18,233
461,XLR,2009,2025-02-04,2025-08-14,130
462,RX-7,1984,2024-12-31,2025-09-30,104
463,Corvette,1970,2025-04-12,2025-05-27,241
464,RAV4,2010,2024-07-15,2025-07-11,78
465,LR2,2008,2024-10-08,2025-08-20,304
466,3500 Club Coupe,1994,2024-07-26,2025-09-04,231
467,S60,2008,2025-01-08,2026-01-13,356
468,Yukon XL 1500,2009,2024-07-11,2026-03-01,140
469,Frontier,2011,2024-10-18,2025-05-29,91
470,DTS,2007,2024-09-10,2025-05-10,230
471,Z4 M,2009,2024-12-06,2026-01-12,106
472,ES,2008,2025-04-22,2025-09-01,368
473,Galant,2009,2024-10-07,2026-01-30,324
474,TL,1999,2024-11-16,2025-10-24,146
475,Sunbird,1993,2024-05-06,2026-02-27,23
476,Galant,2000,2024-12-04,2026-01-03,364
477,Ranger,2003,2024-08-18,2025-12-11,388
478,Elantra,2002,2024-11-17,2026-03-28,332
479,Caravan,1993,2024-08-16,2025-06-08,100
480,Lumina APV,1993,2025-04-29,2025-09-26,207
481,Grand Caravan,2012,2024-08-20,2025-06-28,46
482,Savana 3500,2008,2025-04-24,2025-06-01,170
483,200,1991,2024-07-04,2025-08-22,311
484,Esprit,1985,2024-07-27,2025-10-23,74
485,V8 Vantage,2006,2024-07-17,2025-08-07,154
486,G-Series 3500,1997,2025-01-09,2025-05-06,102
487,H1,2001,2025-02-03,2026-01-26,14
488,A6,2005,2025-02-08,2025-07-03,326
489,CLK-Class,2006,2024-06-26,2026-04-04,271
490,Jetta,1999,2024-06-12,2026-01-05,274
491,Explorer Sport,2000,2024-07-17,2025-12-06,105
492,Santa Fe,2007,2024-05-06,2026-02-02,46
493,Century,1996,2024-12-31,2025-09-11,102
494,7 Series,2005,2024-05-11,2025-09-11,260
495,Passport,1998,2025-04-03,2026-01-21,56
496,Yukon Denali,2006,2024-12-31,2025-10-28,136
497,Cordia,1988,2024-10-21,2026-01-13,338
498,Azure T,2010,2024-11-09,2025-06-28,32
499,F-Series Super Duty,2011,2025-01-21,2026-04-12,288
500,xD,2009,2024-05-11,2025-09-04,7
501,Aveo,2005,2024-12-09,2025-11-10,136
502,XC90,2011,2024-05-24,2025-07-09,397
503,GT-R,2009,2024-06-27,2025-08-31,251
504,GT500,2009,2024-05-09,2025-07-21,395
505,RDX,2012,2024-12-20,2025-08-26,152
506,Maxima,1998,2024-10-17,2025-06-26,202
507,SLK-Class,2001,2024-05-23,2026-03-05,173
508,Raider,2007,2024-11-02,2025-10-21,195
509,Crown Victoria,2000,2024-09-21,2025-11-06,192
510,GT,2005,2024-06-15,2026-04-05,170
511,Avanti,1961,2025-05-03,2025-11-15,154
512,Viper,2000,2024-05-05,2025-09-30,87
513,Sienna,2006,2024-07-08,2025-10-25,338
514,S-Type,2002,2024-06-10,2025-11-18,27
515,Impala,2011,2024-08-27,2026-02-12,224
516,Celica,1978,2024-06-15,2025-12-26,277
517,Th!nk,2000,2024-06-02,2026-02-14,43
518,B-Series,2006,2024-12-27,2026-03-26,300
519,Hombre Space,1997,2025-05-03,2026-04-29,259
520,MR2,1995,2024-05-28,2026-02-19,162
521,Celica,1983,2025-03-02,2026-04-08,261
522,4Runner,2012,2024-06-23,2025-10-25,138
523,Skylark,1989,2024-10-21,2026-01-28,270
524,Sierra 3500,2003,2024-07-13,2025-11-14,186
525,Bonneville,1988,2025-01-25,2025-05-24,1
526,Durango,2009,2025-01-03,2026-01-19,102
527,RS 6,2003,2024-11-25,2025-06-19,12
528,911,1990,2025-02-07,2025-10-15,134
529,Fury,1964,2025-03-22,2025-11-18,198
530,Outback,2002,2024-09-11,2025-06-08,339
531,Golf III,1993,2024-06-12,2026-01-20,250
532,Thunderbird,1972,2024-06-06,2026-02-03,92
533,Samurai,1995,2024-09-22,2025-11-11,76
